Player,Season,Week,Team,Position,game_id,Market,Bookmaker,Line,Side,Odds,Predicted Win %,Expected Return
Donovan Wilson,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,under,119.0,59.8%,30.9%
Kenneth Murray,2025,1,DAL,LB,2025_01_DAL_PHI,player_solo_tackles,draftkings,4.5,under,105.0,62.9%,28.9%
Zack Baun,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,draftkings,4.5,under,124.0,57.0%,27.6%
Kenneth Murray,2025,1,DAL,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,4.5,under,100.0,62.9%,25.7%
Zack Baun,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,4.5,under,120.0,57.0%,25.4%
Malik Hooker,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,under,115.0,58.2%,25.1%
Donovan Wilson,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,under,105.0,59.8%,22.5%
Sydney Brown,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,1.5,under,105.0,58.5%,19.9%
Jalyx Hunt,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,1.5,over,135.0,49.5%,16.4%
DaRon Bland,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,over,-105.0,56.8%,10.9%
Reed Blankenship,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,under,110.0,50.5%,6.0%
Adoree Jackson,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,2.5,under,-135.0,60.8%,5.8%
Quinyon Mitchell,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,2.5,over,-133.0,59.5%,4.2%
Quinyon Mitchell,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,2.5,over,-135.0,59.5%,3.5%
DaRon Bland,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,over,-122.0,56.8%,3.4%
Osa Odighizuwa,2025,1,DAL,DL,2025_01_DAL_PHI,player_solo_tackles,draftkings,1.5,under,150.0,40.7%,1.7%
